lambda	x
8.685200000e-01	8.651104027e-01
8.685200000e-01	8.654449973e-01
8.685200000e-01	8.661236894e-01
8.685200000e-01	8.664717837e-01
8.685200000e-01	8.673004209e-01
8.685200000e-01	8.678338326e-01
8.685200000e-01	8.680201934e-01
8.685200000e-01	8.681883795e-01
8.685200000e-01	8.683137199e-01
8.685200000e-01	8.684593978e-01
8.685600000e-01	3.504242785e-01
8.685600000e-01	3.505380119e-01
8.685600000e-01	3.509997715e-01
8.685600000e-01	3.523657033e-01
8.685600000e-01	3.527864349e-01
8.685600000e-01	3.533393316e-01
8.685600000e-01	3.535624396e-01
8.685600000e-01	3.536214790e-01
8.685600000e-01	3.590332284e-01
8.685600000e-01	3.593554660e-01
8.685600000e-01	3.613456784e-01
8.685600000e-01	3.619399327e-01
8.685600000e-01	3.626380091e-01
8.685600000e-01	3.637893168e-01
8.685600000e-01	3.679900110e-01
8.685600000e-01	3.681936000e-01
8.685600000e-01	3.687203452e-01
8.685600000e-01	3.830940301e-01
8.685600000e-01	3.832728618e-01
8.685600000e-01	3.839529588e-01
8.685600000e-01	3.856676315e-01
8.685600000e-01	3.870003770e-01
8.685600000e-01	3.914935550e-01
8.685600000e-01	3.934626446e-01
8.685600000e-01	3.971586079e-01
8.685600000e-01	4.570256539e-01
8.685600000e-01	4.645599279e-01
8.685600000e-01	4.686579469e-01
8.685600000e-01	4.782208676e-01
8.685600000e-01	4.811125697e-01
8.685600000e-01	4.848691209e-01
8.685600000e-01	4.863702155e-01
8.685600000e-01	4.867659671e-01
8.685600000e-01	5.199028181e-01
8.685600000e-01	5.211636496e-01
8.685600000e-01	5.216517800e-01
8.685600000e-01	5.318219295e-01
8.685600000e-01	5.346410243e-01
8.685600000e-01	5.363567265e-01
8.685600000e-01	5.378209995e-01
8.685600000e-01	5.427494745e-01
8.685600000e-01	5.435509248e-01
8.685600000e-01	5.571472267e-01
8.685600000e-01	5.572969109e-01
8.685600000e-01	5.578628148e-01
8.685600000e-01	5.592669149e-01
8.685600000e-01	5.603369839e-01
8.685600000e-01	5.638203958e-01
8.685600000e-01	5.652922145e-01
8.685600000e-01	5.679748859e-01
8.685600000e-01	7.744175294e-01
8.685600000e-01	7.745580027e-01
8.685600000e-01	7.751273108e-01
8.685600000e-01	7.768018278e-01
8.685600000e-01	7.773147290e-01
8.685600000e-01	7.779866838e-01
8.685600000e-01	7.782571702e-01
8.685600000e-01	7.783286830e-01
8.685600000e-01	7.847697590e-01
8.685600000e-01	7.851461495e-01
8.685600000e-01	7.874529766e-01
8.685600000e-01	7.881358043e-01
8.685600000e-01	7.889344198e-01
8.685600000e-01	7.902432512e-01
8.685600000e-01	7.949308907e-01
8.685600000e-01	7.951545688e-01
8.685600000e-01	7.957317808e-01
8.685600000e-01	8.106363799e-01
8.685600000e-01	8.108114676e-01
8.685600000e-01	8.114749886e-01
8.685600000e-01	8.131314192e-01
8.685600000e-01	8.144026010e-01
8.685600000e-01	8.185828944e-01
8.685600000e-01	8.203635119e-01
8.685600000e-01	8.236208992e-01
8.685600000e-01	8.488305271e-01
8.685600000e-01	8.503517127e-01
8.685600000e-01	8.511606425e-01
8.685600000e-01	8.530026365e-01
8.685600000e-01	8.535479781e-01
8.685600000e-01	8.542489190e-01
8.685600000e-01	8.545267251e-01
8.685600000e-01	8.545997544e-01
8.685600000e-01	8.604431644e-01
8.685600000e-01	8.606563378e-01
8.685600000e-01	8.607387123e-01
8.685600000e-01	8.624361495e-01
8.685600000e-01	8.629006451e-01
8.685600000e-01	8.631821326e-01
8.685600000e-01	8.634216658e-01
8.685600000e-01	8.642232852e-01
8.685600000e-01	8.643529899e-01
8.685600000e-01	8.665277305e-01
8.685600000e-01	8.665514191e-01
8.685600000e-01	8.666409305e-01
8.685600000e-01	8.668627054e-01
8.685600000e-01	8.670314210e-01
8.685600000e-01	8.675788936e-01
8.685600000e-01	8.677638751e-01
8.685600000e-01	8.678094296e-01
8.686000000e-01	3.487823483e-01
8.686000000e-01	3.497461331e-01
8.686000000e-01	3.500160533e-01
8.686000000e-01	3.512605528e-01
8.686000000e-01	3.524540990e-01
8.686000000e-01	3.526079237e-01
8.686000000e-01	3.526900133e-01
8.686000000e-01	3.531515192e-01
8.686000000e-01	3.539294564e-01
8.686000000e-01	3.564939809e-01
8.686000000e-01	3.589462756e-01
8.686000000e-01	3.639664863e-01
8.686000000e-01	3.655782865e-01
8.686000000e-01	3.687910394e-01
8.686000000e-01	3.720132662e-01
8.686000000e-01	3.748347764e-01
8.686000000e-01	3.820316698e-01
8.686000000e-01	3.843924052e-01
8.686000000e-01	3.858319629e-01
8.686000000e-01	3.860910685e-01
8.686000000e-01	3.865790742e-01
8.686000000e-01	3.904752647e-01
8.686000000e-01	3.947443709e-01
8.686000000e-01	3.956980632e-01
8.686000000e-01	3.991838674e-01
8.686000000e-01	4.529187268e-01
8.686000000e-01	4.599116185e-01
8.686000000e-01	4.618574238e-01
8.686000000e-01	4.790690384e-01
8.686000000e-01	4.801280582e-01
8.686000000e-01	4.806916918e-01
8.686000000e-01	4.838400805e-01
8.686000000e-01	4.890642515e-01
8.686000000e-01	5.054391924e-01
8.686000000e-01	5.120336543e-01
8.686000000e-01	5.196776387e-01
8.686000000e-01	5.226047823e-01
8.686000000e-01	5.274133022e-01
8.686000000e-01	5.313351867e-01
8.686000000e-01	5.437154973e-01
8.686000000e-01	5.498483543e-01
8.686000000e-01	5.563173290e-01
8.686000000e-01	5.582903400e-01
8.686000000e-01	5.594630860e-01
8.686000000e-01	5.596718612e-01
8.686000000e-01	5.600632192e-01
8.686000000e-01	5.631059998e-01
8.686000000e-01	5.662900581e-01
8.686000000e-01	5.669821423e-01
8.686000000e-01	5.694575501e-01
8.686000000e-01	7.724141281e-01
8.686000000e-01	7.736135195e-01
8.686000000e-01	7.739481534e-01
8.686000000e-01	7.754838219e-01
8.686000000e-01	7.769454802e-01
8.686000000e-01	7.771330651e-01
8.686000000e-01	7.772330967e-01
8.686000000e-01	7.777945102e-01
8.686000000e-01	7.787371551e-01
8.686000000e-01	7.818116790e-01
8.686000000e-01	7.847041923e-01
8.686000000e-01	7.904801464e-01
8.686000000e-01	7.922929575e-01
8.686000000e-01	7.958457319e-01
8.686000000e-01	7.993275499e-01
8.686000000e-01	8.023091172e-01
8.686000000e-01	8.096282721e-01
8.686000000e-01	8.119391451e-01
8.686000000e-01	8.133263852e-01
8.686000000e-01	8.135743084e-01
8.686000000e-01	8.140397892e-01
8.686000000e-01	8.176874328e-01
8.686000000e-01	8.215435267e-01
8.686000000e-01	8.223847854e-01
8.686000000e-01	8.253967785e-01
8.686000000e-01	8.480029707e-01
8.686000000e-01	8.494396047e-01
8.686000000e-01	8.498320790e-01
8.686000000e-01	8.515859408e-01
8.686000000e-01	8.531823637e-01
8.686000000e-01	8.533820377e-01
8.686000000e-01	8.534880290e-01
8.686000000e-01	8.540765847e-01
8.686000000e-01	8.550405995e-01
8.686000000e-01	8.579707293e-01
8.686000000e-01	8.591159451e-01
8.686000000e-01	8.604214238e-01
8.686000000e-01	8.617205692e-01
8.686000000e-01	8.623714079e-01
8.686000000e-01	8.643946379e-01
8.686000000e-01	8.653808305e-01
8.686000000e-01	8.664106878e-01
8.686000000e-01	8.667227961e-01
8.686000000e-01	8.669078879e-01
8.686000000e-01	8.669408058e-01
8.686000000e-01	8.670024853e-01
8.686000000e-01	8.674808851e-01
8.686000000e-01	8.679793698e-01
8.686000000e-01	8.680874410e-01
8.686000000e-01	8.684731917e-01
8.686400000e-01	3.484023863e-01
8.686400000e-01	3.486604029e-01
8.686400000e-01	3.495816212e-01
8.686400000e-01	3.504661748e-01
8.686400000e-01	3.514932854e-01
8.686400000e-01	3.529850603e-01
8.686400000e-01	3.553575412e-01
8.686400000e-01	3.563979886e-01
8.686400000e-01	3.578851493e-01
8.686400000e-01	3.590951144e-01
8.686400000e-01	3.612135358e-01
8.686400000e-01	3.638030783e-01
8.686400000e-01	3.645609544e-01
8.686400000e-01	3.663265437e-01
8.686400000e-01	3.683219992e-01
8.686400000e-01	3.711752017e-01
8.686400000e-01	3.726049075e-01
8.686400000e-01	3.749546841e-01
8.686400000e-01	3.777781879e-01
8.686400000e-01	3.847697165e-01
8.686400000e-01	3.895597431e-01
8.686400000e-01	3.930341736e-01
8.686400000e-01	3.961413591e-01
8.686400000e-01	3.994900891e-01
8.686400000e-01	4.004485715e-01
8.686400000e-01	4.522457181e-01
8.686400000e-01	4.589452486e-01
8.686400000e-01	4.653155888e-01
8.686400000e-01	4.726093659e-01
8.686400000e-01	4.829495191e-01
8.686400000e-01	4.986027850e-01
8.686400000e-01	5.051022789e-01
8.686400000e-01	5.105852523e-01
8.686400000e-01	5.139531784e-01
8.686400000e-01	5.207440230e-01
8.686400000e-01	5.255466388e-01
8.686400000e-01	5.298312191e-01
8.686400000e-01	5.316802317e-01
8.686400000e-01	5.380412930e-01
8.686400000e-01	5.389702174e-01
8.686400000e-01	5.432930733e-01
8.686400000e-01	5.463112833e-01
8.686400000e-01	5.500387975e-01
8.686400000e-01	5.526580044e-01
8.686400000e-01	5.586640451e-01
8.686400000e-01	5.624634449e-01
8.686400000e-01	5.650892135e-01
8.686400000e-01	5.673567484e-01
8.686400000e-01	5.697242048e-01
8.686400000e-01	5.703883480e-01
8.686400000e-01	7.719748825e-01
8.686400000e-01	7.722974305e-01
8.686400000e-01	7.734449091e-01
8.686400000e-01	7.745406212e-01
8.686400000e-01	7.758054158e-01
8.686400000e-01	7.776280134e-01
8.686400000e-01	7.804914294e-01
8.686400000e-01	7.817335080e-01
8.686400000e-01	7.834943655e-01
8.686400000e-01	7.849143965e-01
8.686400000e-01	7.873732806e-01
8.686400000e-01	7.903316210e-01
8.686400000e-01	7.911875468e-01
8.686400000e-01	7.931641543e-01
8.686400000e-01	7.953687224e-01
8.686400000e-01	7.984666044e-01
8.686400000e-01	7.999948043e-01
8.686400000e-01	8.024713852e-01
8.686400000e-01	8.053894027e-01
8.686400000e-01	8.123417584e-01
8.686400000e-01	8.168789221e-01
8.686400000e-01	8.200542476e-01
8.686400000e-01	8.228111967e-01
8.686400000e-01	8.256946746e-01
8.686400000e-01	8.265031835e-01
8.686400000e-01	8.474885240e-01
8.686400000e-01	8.478841971e-01
8.686400000e-01	8.492646018e-01
8.686400000e-01	8.505426991e-01
8.686400000e-01	8.519687817e-01
8.686400000e-01	8.539296174e-01
8.686400000e-01	8.567810103e-01
8.686400000e-01	8.579290313e-01
8.686400000e-01	8.588829284e-01
8.686400000e-01	8.594626565e-01
8.686400000e-01	8.606181078e-01
8.686400000e-01	8.614250338e-01
8.686400000e-01	8.621382135e-01
8.686400000e-01	8.624441179e-01
8.686400000e-01	8.634883247e-01
8.686400000e-01	8.643413929e-01
8.686400000e-01	8.648281686e-01
8.686400000e-01	8.654260009e-01
8.686400000e-01	8.658439561e-01
8.686400000e-01	8.667960810e-01
8.686400000e-01	8.673941120e-01
8.686400000e-01	8.678055769e-01
8.686400000e-01	8.681597449e-01
8.686400000e-01	8.685284091e-01
8.686400000e-01	8.686316317e-01
8.686800000e-01	3.488519542e-01
8.686800000e-01	3.492726318e-01
8.686800000e-01	3.505439077e-01
8.686800000e-01	3.508671511e-01
8.686800000e-01	3.521432950e-01
8.686800000e-01	3.526714478e-01
8.686800000e-01	3.531787488e-01
8.686800000e-01	3.544220311e-01
8.686800000e-01	3.570902417e-01
8.686800000e-01	3.589528823e-01
8.686800000e-01	3.596407779e-01
8.686800000e-01	3.605594112e-01
8.686800000e-01	3.650083197e-01
8.686800000e-01	3.669727252e-01
8.686800000e-01	3.680418039e-01
8.686800000e-01	3.685183541e-01
8.686800000e-01	3.709268367e-01
8.686800000e-01	3.730257965e-01
8.686800000e-01	3.803067141e-01
8.686800000e-01	3.840317918e-01
8.686800000e-01	3.856124830e-01
8.686800000e-01	3.915193530e-01
8.686800000e-01	3.926244792e-01
8.686800000e-01	3.971086127e-01
8.686800000e-01	3.986407296e-01
8.686800000e-01	4.538609087e-01
8.686800000e-01	4.569252636e-01
8.686800000e-01	4.661009321e-01
8.686800000e-01	4.674008822e-01
8.686800000e-01	4.684087230e-01
8.686800000e-01	4.810440079e-01
8.686800000e-01	4.845085501e-01
8.686800000e-01	4.928066642e-01
8.686800000e-01	5.095403214e-01
8.686800000e-01	5.144835268e-01
8.686800000e-01	5.202176669e-01
8.686800000e-01	5.213598857e-01
8.686800000e-01	5.239312912e-01
8.686800000e-01	5.286879353e-01
8.686800000e-01	5.396058129e-01
8.686800000e-01	5.418841087e-01
8.686800000e-01	5.435952910e-01
8.686800000e-01	5.482502489e-01
8.686800000e-01	5.549710194e-01
8.686800000e-01	5.581228107e-01
8.686800000e-01	5.594123918e-01
8.686800000e-01	5.640151012e-01
8.686800000e-01	5.648422760e-01
8.686800000e-01	5.681028314e-01
8.686800000e-01	5.691843192e-01
8.686800000e-01	7.725721362e-01
8.686800000e-01	7.730963490e-01
8.686800000e-01	7.746722957e-01
8.686800000e-01	7.750710375e-01
8.686800000e-01	7.766374333e-01
8.686800000e-01	7.772820608e-01
8.686800000e-01	7.778992231e-01
8.686800000e-01	7.794033931e-01
8.686800000e-01	7.825913243e-01
8.686800000e-01	7.847841958e-01
8.686800000e-01	7.855872588e-01
8.686800000e-01	7.866539678e-01
8.686800000e-01	7.917271414e-01
8.686800000e-01	7.939180262e-01
8.686800000e-01	7.950976604e-01
8.686800000e-01	7.956206022e-01
8.686800000e-01	7.982362425e-01
8.686800000e-01	8.004784748e-01
8.686800000e-01	8.079859957e-01
8.686800000e-01	8.116637843e-01
8.686800000e-01	8.131908456e-01
8.686800000e-01	8.187195242e-01
8.686800000e-01	8.197226423e-01
8.686800000e-01	8.236913617e-01
8.686800000e-01	8.250099464e-01
8.686800000e-01	8.482421810e-01
8.686800000e-01	8.488737335e-01
8.686800000e-01	8.507184534e-01
8.686800000e-01	8.511722555e-01
8.686800000e-01	8.535923206e-01
8.686800000e-01	8.542383850e-01
8.686800000e-01	8.557583636e-01
8.686800000e-01	8.587191373e-01
8.686800000e-01	8.595702362e-01
8.686800000e-01	8.605455206e-01
8.686800000e-01	8.607383274e-01
8.686800000e-01	8.611706660e-01
8.686800000e-01	8.619643653e-01
8.686800000e-01	8.637585330e-01
8.686800000e-01	8.641284256e-01
8.686800000e-01	8.644052825e-01
8.686800000e-01	8.651543908e-01
8.686800000e-01	8.662260977e-01
8.686800000e-01	8.667249204e-01
8.686800000e-01	8.669283568e-01
8.686800000e-01	8.671400938e-01
8.686800000e-01	8.676514439e-01
8.686800000e-01	8.677809097e-01
8.686800000e-01	8.682898577e-01
8.686800000e-01	8.684581948e-01
8.687200000e-01	3.482901929e-01
8.687200000e-01	3.483380462e-01
8.687200000e-01	3.485227001e-01
8.687200000e-01	3.486012629e-01
8.687200000e-01	3.486289368e-01
8.687200000e-01	3.494743702e-01
8.687200000e-01	3.495878537e-01
8.687200000e-01	3.549660175e-01
8.687200000e-01	3.559244911e-01
8.687200000e-01	3.657393736e-01
8.687200000e-01	3.664535743e-01
8.687200000e-01	3.722405375e-01
8.687200000e-01	3.724437946e-01
8.687200000e-01	3.744205141e-01
8.687200000e-01	3.745112196e-01
8.687200000e-01	3.747883098e-01
8.687200000e-01	3.759531346e-01
8.687200000e-01	3.786077155e-01
8.687200000e-01	3.958334557e-01
8.687200000e-01	3.962394318e-01
8.687200000e-01	3.993188364e-01
8.687200000e-01	3.994212713e-01
8.687200000e-01	3.997126350e-01
8.687200000e-01	4.004007397e-01
8.687200000e-01	4.005798142e-01
8.687200000e-01	4.499672668e-01
8.687200000e-01	4.503181150e-01
8.687200000e-01	4.522461224e-01
8.687200000e-01	4.524486340e-01
8.687200000e-01	4.586131702e-01
8.687200000e-01	4.594368331e-01
8.687200000e-01	4.965917127e-01
8.687200000e-01	5.026742618e-01
8.687200000e-01	5.053708628e-01
8.687200000e-01	5.060147656e-01
8.687200000e-01	5.062257489e-01
8.687200000e-01	5.108480618e-01
8.687200000e-01	5.113259710e-01
8.687200000e-01	5.251291762e-01
8.687200000e-01	5.268580852e-01
8.687200000e-01	5.497686315e-01
8.687200000e-01	5.511286376e-01
8.687200000e-01	5.535458865e-01
8.687200000e-01	5.672457753e-01
8.687200000e-01	5.675372001e-01
8.687200000e-01	5.697111295e-01
8.687200000e-01	5.697823741e-01
8.687200000e-01	5.699846573e-01
8.687200000e-01	5.704602711e-01
8.687200000e-01	5.705835653e-01
8.687200000e-01	7.719055550e-01
8.687200000e-01	7.719654615e-01
8.687200000e-01	7.721964618e-01
8.687200000e-01	7.722946643e-01
8.687200000e-01	7.723292451e-01
8.687200000e-01	7.733828696e-01
8.687200000e-01	7.735238837e-01
8.687200000e-01	7.800937096e-01
8.687200000e-01	7.812412290e-01
8.687200000e-01	7.925825012e-01
8.687200000e-01	7.933784887e-01
8.687200000e-01	7.996805059e-01
8.687200000e-01	7.998970606e-01
8.687200000e-01	8.019860792e-01
8.687200000e-01	8.020811963e-01
8.687200000e-01	8.023713595e-01
8.687200000e-01	8.035844873e-01
8.687200000e-01	8.063089169e-01
8.687200000e-01	8.226172495e-01
8.687200000e-01	8.229727269e-01
8.687200000e-01	8.256254606e-01
8.687200000e-01	8.257123760e-01
8.687200000e-01	8.259591286e-01
8.687200000e-01	8.265391291e-01
8.687200000e-01	8.266894369e-01
8.687200000e-01	8.474495600e-01
8.687200000e-01	8.475235014e-01
8.687200000e-01	8.478075427e-01
8.687200000e-01	8.479277746e-01
8.687200000e-01	8.479700390e-01
8.687200000e-01	8.492392439e-01
8.687200000e-01	8.494063768e-01
8.687200000e-01	8.564575451e-01
8.687200000e-01	8.575373673e-01
8.687200000e-01	8.580106358e-01
8.687200000e-01	8.581231680e-01
8.687200000e-01	8.581600013e-01
8.687200000e-01	8.589621947e-01
8.687200000e-01	8.590446262e-01
8.687200000e-01	8.613873327e-01
8.687200000e-01	8.616759005e-01
8.687200000e-01	8.656294058e-01
8.687200000e-01	8.660142946e-01
8.687200000e-01	8.681701368e-01
8.687200000e-01	8.682155573e-01
8.687200000e-01	8.685538429e-01
8.687200000e-01	8.685649135e-01
8.687200000e-01	8.685963405e-01
8.687200000e-01	8.686702013e-01
8.687200000e-01	8.686893412e-01
8.687600000e-01	3.482063769e-01
8.687600000e-01	3.487887280e-01
8.687600000e-01	3.495525923e-01
8.687600000e-01	3.503140262e-01
8.687600000e-01	3.504417605e-01
8.687600000e-01	3.542483781e-01
8.687600000e-01	3.558848553e-01
8.687600000e-01	3.573395608e-01
8.687600000e-01	3.595432232e-01
8.687600000e-01	3.605928312e-01
8.687600000e-01	3.612682364e-01
8.687600000e-01	3.633218669e-01
8.687600000e-01	3.646879279e-01
8.687600000e-01	3.656856520e-01
8.687600000e-01	3.669328242e-01
8.687600000e-01	3.707905121e-01
8.687600000e-01	3.709644155e-01
8.687600000e-01	3.721317707e-01
8.687600000e-01	3.759262751e-01
8.687600000e-01	3.805408422e-01
8.687600000e-01	3.926929504e-01
8.687600000e-01	3.931350536e-01
8.687600000e-01	3.958165373e-01
8.687600000e-01	3.985857069e-01
8.687600000e-01	4.007499391e-01
8.687600000e-01	4.536570416e-01
8.687600000e-01	4.538353327e-01
8.687600000e-01	4.594046327e-01
8.687600000e-01	4.649095353e-01
8.687600000e-01	4.658275393e-01
8.687600000e-01	4.921576433e-01
8.687600000e-01	5.026770453e-01
8.687600000e-01	5.115242504e-01
8.687600000e-01	5.142802506e-01
8.687600000e-01	5.146921603e-01
8.687600000e-01	5.239166028e-01
8.687600000e-01	5.269334336e-01
8.687600000e-01	5.293586146e-01
8.687600000e-01	5.326956844e-01
8.687600000e-01	5.377474038e-01
8.687600000e-01	5.394177764e-01
8.687600000e-01	5.420221654e-01
8.687600000e-01	5.475230473e-01
8.687600000e-01	5.511779449e-01
8.687600000e-01	5.553110346e-01
8.687600000e-01	5.650080001e-01
8.687600000e-01	5.653353010e-01
8.687600000e-01	5.672888245e-01
8.687600000e-01	5.692527409e-01
8.687600000e-01	5.707527177e-01
8.687600000e-01	7.718361231e-01
8.687600000e-01	7.725643742e-01
8.687600000e-01	7.735156932e-01
8.687600000e-01	7.744595522e-01
8.687600000e-01	7.746174552e-01
8.687600000e-01	7.792657739e-01
8.687600000e-01	7.812298858e-01
8.687600000e-01	7.829584996e-01
8.687600000e-01	7.855459319e-01
8.687600000e-01	7.867651008e-01
8.687600000e-01	7.875450929e-01
8.687600000e-01	7.898949339e-01
8.687600000e-01	7.914398289e-01
8.687600000e-01	7.925589577e-01
8.687600000e-01	7.939469364e-01
8.687600000e-01	7.981629102e-01
8.687600000e-01	7.983502081e-01
8.687600000e-01	7.996013050e-01
8.687600000e-01	8.035936348e-01
8.687600000e-01	8.082948479e-01
8.687600000e-01	8.198599654e-01
8.687600000e-01	8.202582858e-01
8.687600000e-01	8.226402830e-01
8.687600000e-01	8.250388969e-01
8.687600000e-01	8.268700618e-01
8.687600000e-01	8.473869258e-01
8.687600000e-01	8.482800097e-01
8.687600000e-01	8.494208424e-01
8.687600000e-01	8.505235595e-01
8.687600000e-01	8.507051809e-01
8.687600000e-01	8.556772184e-01
8.687600000e-01	8.575553190e-01
8.687600000e-01	8.590956805e-01
8.687600000e-01	8.595688510e-01
8.687600000e-01	8.596393117e-01
8.687600000e-01	8.612004564e-01
8.687600000e-01	8.617044026e-01
8.687600000e-01	8.621072876e-01
8.687600000e-01	8.626585265e-01
8.687600000e-01	8.634863909e-01
8.687600000e-01	8.637584465e-01
8.687600000e-01	8.641810220e-01
8.687600000e-01	8.650673956e-01
8.687600000e-01	8.656519079e-01
8.687600000e-01	8.663088820e-01
8.687600000e-01	8.678347400e-01
8.687600000e-01	8.678858854e-01
8.687600000e-01	8.681906917e-01
8.687600000e-01	8.684963421e-01
8.687600000e-01	8.687292760e-01
8.688000000e-01	3.480594761e-01
8.688000000e-01	3.481124885e-01
8.688000000e-01	3.481743776e-01
8.688000000e-01	3.482713816e-01
8.688000000e-01	3.484758461e-01
8.688000000e-01	3.491078249e-01
8.688000000e-01	3.518404751e-01
8.688000000e-01	3.525855090e-01
8.688000000e-01	3.556003783e-01
8.688000000e-01	3.682911375e-01
8.688000000e-01	3.727745700e-01
8.688000000e-01	3.743230242e-01
8.688000000e-01	3.750742661e-01
8.688000000e-01	3.755591276e-01
8.688000000e-01	3.759778834e-01
8.688000000e-01	3.765675203e-01
8.688000000e-01	3.854663643e-01
8.688000000e-01	3.878573282e-01
8.688000000e-01	3.890582206e-01
8.688000000e-01	3.972759219e-01
8.688000000e-01	3.995987718e-01
8.688000000e-01	4.003618615e-01
8.688000000e-01	4.007258701e-01
8.688000000e-01	4.009587743e-01
8.688000000e-01	4.011586842e-01
8.688000000e-01	4.486999343e-01
8.688000000e-01	4.490899195e-01
8.688000000e-01	4.495450753e-01
8.688000000e-01	4.502581757e-01
8.688000000e-01	4.517599165e-01
8.688000000e-01	4.563876470e-01
8.688000000e-01	4.734198823e-01
8.688000000e-01	4.811741057e-01
8.688000000e-01	5.011397093e-01
8.688000000e-01	5.024986724e-01
8.688000000e-01	5.034664037e-01
8.688000000e-01	5.045895877e-01
8.688000000e-01	5.063354900e-01
8.688000000e-01	5.099554976e-01
8.688000000e-01	5.205938409e-01
8.688000000e-01	5.518444285e-01
8.688000000e-01	5.594842102e-01
8.688000000e-01	5.613833180e-01
8.688000000e-01	5.623166669e-01
8.688000000e-01	5.683845436e-01
8.688000000e-01	5.700113653e-01
8.688000000e-01	5.705382846e-01
8.688000000e-01	5.707883709e-01
8.688000000e-01	5.709479611e-01
8.688000000e-01	5.710846821e-01
8.688000000e-01	7.716875391e-01
8.688000000e-01	7.717540023e-01
8.688000000e-01	7.718315675e-01
8.688000000e-01	7.719530831e-01
8.688000000e-01	7.722089783e-01
8.688000000e-01	7.729979091e-01
8.688000000e-01	7.763741013e-01
8.688000000e-01	7.772846752e-01
8.688000000e-01	7.809258900e-01
8.688000000e-01	7.954813618e-01
8.688000000e-01	8.003224734e-01
8.688000000e-01	8.019576203e-01
8.688000000e-01	8.027440871e-01
8.688000000e-01	8.032493092e-01
8.688000000e-01	8.036841499e-01
8.688000000e-01	8.042940769e-01
8.688000000e-01	8.131628404e-01
8.688000000e-01	8.154376860e-01
8.688000000e-01	8.165629072e-01
8.688000000e-01	8.239500869e-01
8.688000000e-01	8.259388348e-01
8.688000000e-01	8.265825743e-01
8.688000000e-01	8.268879773e-01
8.688000000e-01	8.270828165e-01
8.688000000e-01	8.272497007e-01
8.688000000e-01	8.472257377e-01
8.688000000e-01	8.473083042e-01
8.688000000e-01	8.474044839e-01
8.688000000e-01	8.475547740e-01
8.688000000e-01	8.478697153e-01
8.688000000e-01	8.488274080e-01
8.688000000e-01	8.522037320e-01
8.688000000e-01	8.526956206e-01
8.688000000e-01	8.536738392e-01
8.688000000e-01	8.573017048e-01
8.688000000e-01	8.575413796e-01
8.688000000e-01	8.577115422e-01
8.688000000e-01	8.579085127e-01
8.688000000e-01	8.582135825e-01
8.688000000e-01	8.588419505e-01
8.688000000e-01	8.606580375e-01
8.688000000e-01	8.657727312e-01
8.688000000e-01	8.669823395e-01
8.688000000e-01	8.672809426e-01
8.688000000e-01	8.683751065e-01
8.688000000e-01	8.686279179e-01
8.688000000e-01	8.687096913e-01
8.688000000e-01	8.687484838e-01
8.688000000e-01	8.687732326e-01
8.688000000e-01	8.687944310e-01
8.688400000e-01	3.481304694e-01
8.688400000e-01	3.481736676e-01
8.688400000e-01	3.482548610e-01
8.688400000e-01	3.484415936e-01
8.688400000e-01	3.490340259e-01
8.688400000e-01	3.515541095e-01
8.688400000e-01	3.522556465e-01
8.688400000e-01	3.526245985e-01
8.688400000e-01	3.550733491e-01
8.688400000e-01	3.560115524e-01
8.688400000e-01	3.685045632e-01
8.688400000e-01	3.727298461e-01
8.688400000e-01	3.741451372e-01
8.688400000e-01	3.747729119e-01
8.688400000e-01	3.751099649e-01
8.688400000e-01	3.753164443e-01
8.688400000e-01	3.778978495e-01
8.688400000e-01	3.852039364e-01
8.688400000e-01	3.863760037e-01
8.688400000e-01	3.886560346e-01
8.688400000e-01	3.974009209e-01
8.688400000e-01	3.995821437e-01
8.688400000e-01	4.002795111e-01
8.688400000e-01	4.005842051e-01
8.688400000e-01	4.007466781e-01
8.688400000e-01	4.494361411e-01
8.688400000e-01	4.497541666e-01
8.688400000e-01	4.503517102e-01
8.688400000e-01	4.517248848e-01
8.688400000e-01	4.560693302e-01
8.688400000e-01	4.725621961e-01
8.688400000e-01	4.742149287e-01
8.688400000e-01	4.791298991e-01
8.688400000e-01	4.816848959e-01
8.688400000e-01	5.039692295e-01
8.688400000e-01	5.044478851e-01
8.688400000e-01	5.052303483e-01
8.688400000e-01	5.066913858e-01
8.688400000e-01	5.100025428e-01
8.688400000e-01	5.200261342e-01
8.688400000e-01	5.507577383e-01
8.688400000e-01	5.531244112e-01
8.688400000e-01	5.593356952e-01
8.688400000e-01	5.602756893e-01
8.688400000e-01	5.620659211e-01
8.688400000e-01	5.685271026e-01
8.688400000e-01	5.700526363e-01
8.688400000e-01	5.705339830e-01
8.688400000e-01	5.707433523e-01
8.688400000e-01	5.708547637e-01
8.688400000e-01	7.718120737e-01
8.688400000e-01	7.718662134e-01
8.688400000e-01	7.719679332e-01
8.688400000e-01	7.722016831e-01
8.688400000e-01	7.729415242e-01
8.688400000e-01	7.760587045e-01
8.688400000e-01	7.769178132e-01
8.688400000e-01	7.773681213e-01
8.688400000e-01	7.803303381e-01
8.688400000e-01	7.814530417e-01
8.688400000e-01	7.957520344e-01
8.688400000e-01	8.003118091e-01
8.688400000e-01	8.018076521e-01
8.688400000e-01	8.024660839e-01
8.688400000e-01	8.028183090e-01
8.688400000e-01	8.030336383e-01
8.688400000e-01	8.056971368e-01
